                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7563,                 8.2796,                 2.2284,                0.58153,                0.03618,                0.03296,                0.00788,                 2.6012,                  4.663,                 2.0991,             0.00023632,             0.00023632,             0.00023632
                      2,                  2.481,                 5.9545,                 1.9802,                0.28285,                0.09848,                0.05386,                0.01622,                 2.4946,                 4.4355,                 2.2716,             0.00045084,             0.00045084,             0.00045084
                      3,                 2.4205,                 4.9908,                 1.9812,                0.78182,                0.04798,                0.04892,                0.01498,                 2.5459,                 3.6707,                  2.186,              0.0006418,              0.0006418,              0.0006418
                      4,                 2.4181,                 4.0116,                 1.9536,                0.11849,                 0.1271,                 0.0858,                0.02434,                 2.5098,                 3.2975,                 2.1674,             0.00060797,             0.00060797,             0.00060797
                      5,                 2.3677,                  3.541,                 1.9494,                0.27243,                 0.1191,                0.08003,                0.02398,                 2.4334,                 3.0528,                  2.017,             0.00060797,             0.00060797,             0.00060797
                      6,                 2.3343,                  3.394,                 1.9166,                0.33059,                0.09142,                0.06552,                0.01925,                 2.3953,                 3.2176,                 2.1127,             0.00057263,             0.00057263,             0.00057263
                      7,                 2.3098,                 3.1465,                 1.9113,                0.11419,                0.14927,                 0.0751,                0.02266,                 2.3495,                 2.9666,                 2.0479,             0.00053728,             0.00053728,             0.00053728
                      8,                 2.2801,                  3.015,                 1.8914,                0.42092,                0.17572,                0.11475,                0.03807,                 2.3299,                 2.8471,                 2.0643,             0.00050194,             0.00050194,             0.00050194
                      9,                  2.238,                 2.9548,                 1.8639,                0.34243,                0.20754,                0.10665,                0.03141,                 2.3704,                  2.839,                 2.0781,              0.0004666,              0.0004666,              0.0004666
                     10,                 2.1671,                 2.7176,                 1.8234,                0.16938,                0.27139,                  0.149,                0.05043,                 2.3225,                  2.816,                 2.0248,             0.00043126,             0.00043126,             0.00043126
                     11,                 2.1727,                 2.8556,                 1.9056,                0.27133,                0.27627,                0.16404,                0.04916,                 2.2889,                  2.741,                  2.006,             0.00039591,             0.00039591,             0.00039591
                     12,                 2.1066,                 2.6992,                 1.8738,                0.18859,                0.22924,                0.17278,                0.04779,                 2.2103,                 2.6949,                 1.9918,             0.00036057,             0.00036057,             0.00036057
                     13,                 2.0784,                 2.6574,                 1.8403,                0.16391,                0.26152,                0.13258,                0.04616,                 2.2519,                 2.6552,                 1.9623,             0.00032523,             0.00032523,             0.00032523
                     14,                 2.0539,                 2.6022,                 1.8327,                 0.2164,                0.33286,                0.15158,                0.04716,                 2.2203,                 2.6894,                 1.9702,             0.00028988,             0.00028988,             0.00028988
                     15,                 2.0148,                 2.4585,                 1.7869,                0.26875,                0.30848,                0.18524,                0.05575,                  2.262,                 2.6857,                 1.9811,             0.00025454,             0.00025454,             0.00025454
                     16,                 1.9822,                 2.5234,                 1.7766,                0.20364,                0.30702,                0.16801,                0.05244,                 2.2736,                 2.6534,                 1.9789,              0.0002192,              0.0002192,              0.0002192
                     17,                 1.9755,                 2.3912,                 1.7676,                0.28358,                 0.2609,                0.17993,                0.06005,                 2.2051,                 2.6965,                  1.955,             0.00018385,             0.00018385,             0.00018385
                     18,                 1.9645,                  2.331,                 1.7553,                 0.2382,                0.33585,                0.22527,                0.07758,                 2.2664,                 2.6359,                 1.9851,             0.00014851,             0.00014851,             0.00014851
                     19,                 1.9161,                 2.2458,                 1.7259,                0.23592,                0.28462,                0.17829,                0.06407,                 2.2297,                 2.5372,                 1.9382,             0.00011317,             0.00011317,             0.00011317
                     20,                 1.8897,                 2.1679,                 1.6912,                0.18815,                0.27679,                0.19123,                0.06451,                 2.2667,                  2.567,                  1.971,             7.7826e-05,             7.7826e-05,             7.7826e-05
