                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7563,                 8.2796,                 2.2284,                0.58153,                0.03618,                0.03296,                0.00788,                 2.6012,                  4.663,                 2.0991,             0.00023632,             0.00023632,             0.00023632
                      2,                 2.4865,                 6.0102,                  1.988,                0.53658,                0.13131,                0.05992,                0.01547,                 2.4508,                 4.7923,                 2.1965,             0.00046493,             0.00046493,             0.00046493
                      3,                 2.4491,                 5.0245,                 2.0004,                0.37557,                0.08921,                0.05723,                0.01426,                 2.5278,                 3.3092,                 2.2511,             0.00068412,             0.00068412,             0.00068412
                      4,                 2.4394,                 3.9814,                 1.9918,                0.15206,                 0.2036,                0.07371,                0.01979,                 2.4782,                 3.3625,                 2.1893,             0.00067159,             0.00067159,             0.00067159
                      5,                 2.4203,                 3.5556,                 1.9861,                0.08599,                0.11379,                0.07333,                0.02068,                 2.4074,                 3.0259,                 2.0248,             0.00067159,             0.00067159,             0.00067159
                      6,                 2.3666,                 3.3882,                 1.9542,                0.10391,                 0.1369,                0.07163,                0.02116,                 2.4335,                 3.2786,                 2.1042,             0.00065745,             0.00065745,             0.00065745
                      7,                 2.3338,                 3.0788,                 1.9324,                0.15061,                0.18304,                0.10529,                0.03359,                 2.3598,                 2.8836,                 2.0896,             0.00064331,             0.00064331,             0.00064331
                      8,                  2.318,                 3.0335,                 1.9203,                0.15844,                0.16317,                0.10582,                0.03944,                   2.33,                 2.8785,                 1.9946,             0.00062918,             0.00062918,             0.00062918
                      9,                 2.2883,                 2.9596,                 1.9168,                0.15391,                0.18981,                0.10539,                0.03466,                 2.3816,                 2.8437,                 2.1064,             0.00061504,             0.00061504,             0.00061504
                     10,                 2.2225,                 2.7723,                 1.8666,                0.18345,                0.17363,                0.11128,                0.03254,                 2.3122,                 2.8499,                  2.029,              0.0006009,              0.0006009,              0.0006009
                     11,                 2.2052,                 2.7262,                  1.848,                0.20533,                0.23088,                0.18381,                0.05402,                 2.2553,                  2.822,                  1.988,             0.00058677,             0.00058677,             0.00058677
                     12,                 2.1839,                 2.7821,                 1.8505,                0.16886,                0.24451,                0.14453,                0.05137,                 2.2784,                  2.704,                 2.0026,             0.00057263,             0.00057263,             0.00057263
                     13,                 2.1638,                 2.6359,                 1.8202,                0.15577,                0.20341,                0.15313,                0.04501,                 2.2586,                 2.6974,                 1.9691,             0.00055849,             0.00055849,             0.00055849
                     14,                 2.1744,                 2.6911,                  1.825,                0.09952,                0.26172,                0.13309,                 0.0453,                 2.2948,                 2.8527,                 2.0204,             0.00054435,             0.00054435,             0.00054435
                     15,                 2.1414,                  2.641,                  1.808,                 0.1735,                  0.269,                0.15985,                 0.0505,                 2.3314,                 2.7384,                 2.0589,             0.00053022,             0.00053022,             0.00053022
                     16,                 2.1458,                 2.5825,                 1.8118,                 0.1425,                0.28011,                0.15353,                0.04879,                 2.2734,                 2.8002,                 2.0179,             0.00051608,             0.00051608,             0.00051608
                     17,                 2.1253,                 2.6531,                 1.7907,                0.18883,                0.32838,                0.13883,                0.04137,                  2.342,                 2.7507,                 2.0607,             0.00050194,             0.00050194,             0.00050194
                     18,                 2.0996,                 2.4332,                 1.7744,                 0.1942,                0.22238,                0.14934,                0.05784,                 2.2519,                 2.7085,                  1.981,              0.0004878,              0.0004878,              0.0004878
                     19,                 2.0682,                 2.4465,                 1.7827,                0.15061,                 0.3335,                0.16774,                0.05831,                  2.295,                  2.774,                 2.0438,             0.00047367,             0.00047367,             0.00047367
                     20,                 2.0406,                 2.4582,                 1.7658,                0.20844,                0.31781,                0.16597,                0.05588,                 2.2833,                 2.5827,                  2.032,             0.00045953,             0.00045953,             0.00045953
                     21,                 2.0655,                 2.3753,                 1.7567,                0.16932,                0.23364,                0.12521,                0.03771,                 2.3032,                 2.8793,                   2.02,             0.00044539,             0.00044539,             0.00044539
                     22,                 2.0406,                 2.4216,                 1.7566,                0.18513,                0.25919,                0.14978,                0.05642,                 2.2223,                 2.6824,                 1.9779,             0.00043126,             0.00043126,             0.00043126
                     23,                 2.0315,                 2.3434,                 1.7533,                0.12985,                0.25498,                0.15285,                0.05673,                 2.2577,                 2.7072,                 2.0269,             0.00041712,             0.00041712,             0.00041712
                     24,                 1.9857,                 2.2886,                 1.6783,                0.22409,                0.30239,                0.17292,                0.06155,                 2.2651,                 2.6494,                 2.0079,             0.00040298,             0.00040298,             0.00040298
                     25,                 1.9978,                 2.2833,                 1.7139,                0.19828,                0.30724,                0.19094,                0.07563,                 2.2512,                 2.7201,                 1.9835,             0.00038884,             0.00038884,             0.00038884
                     26,                  1.954,                 2.2599,                 1.6903,                0.15064,                0.17309,                0.11415,                0.04423,                  2.372,                 2.7392,                 2.1247,             0.00037471,             0.00037471,             0.00037471
                     27,                  1.984,                 2.3188,                 1.6849,                0.24121,                0.30951,                 0.1716,                0.05439,                 2.3059,                 2.6573,                 2.0339,             0.00036057,             0.00036057,             0.00036057
                     28,                 1.9808,                 2.2331,                 1.6813,                0.21113,                0.36597,                0.22012,                0.06929,                 2.2809,                 2.5827,                 1.9949,             0.00034643,             0.00034643,             0.00034643
                     29,                 1.9536,                 2.2393,                 1.6573,                0.14141,                0.33983,                0.18772,                0.05706,                 2.2629,                 2.6042,                 1.9999,              0.0003323,              0.0003323,              0.0003323
                     30,                 1.9463,                  2.126,                 1.6662,                0.15179,                0.31728,                0.20855,                0.06931,                 2.3185,                 2.7391,                 2.0692,             0.00031816,             0.00031816,             0.00031816
                     31,                 1.9668,                 2.1963,                 1.6813,                0.19433,                0.36074,                 0.1747,                0.05812,                 2.2752,                 2.6572,                 2.0262,             0.00030402,             0.00030402,             0.00030402
                     32,                 1.9338,                 2.1732,                 1.6584,                 0.1917,                0.28739,                0.18648,                0.06431,                 2.2694,                 2.5378,                 1.9884,             0.00028988,             0.00028988,             0.00028988
                     33,                 1.8983,                 2.1253,                 1.6386,                0.22734,                0.35969,                0.20614,                0.06607,                  2.247,                 2.5547,                 1.9974,             0.00027575,             0.00027575,             0.00027575
                     34,                 1.9022,                 2.0904,                 1.6489,                0.26854,                0.27362,                0.18726,                0.06151,                 2.2657,                 2.6142,                 2.0402,             0.00026161,             0.00026161,             0.00026161
