                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7558,                 6.2895,                 1.8223,                 0.3148,                0.09754,                0.03189,                0.01075,                 2.6031,                 7.4861,                  1.664,             0.00023742,             0.00023742,             0.00023742
                      2,                 2.5426,                 3.8208,                 1.6619,                0.39077,                0.11455,                0.05924,                0.02179,                 2.6387,                 3.4031,                 1.7204,             0.00045188,             0.00045188,             0.00045188
                      3,                 2.4876,                 3.0895,                 1.6424,                0.35093,                 0.1214,                0.05813,                0.01929,                 2.5308,                 3.2539,                 1.6267,             0.00064279,             0.00064279,             0.00064279
                      4,                 2.4778,                 2.8072,                 1.6377,                 0.3733,                0.10451,                 0.0674,                 0.0273,                 2.4002,                 3.0435,                 1.6319,             0.00060797,             0.00060797,             0.00060797
                      5,                 2.3973,                  2.674,                 1.5945,                0.39183,                0.11732,                0.08371,                0.03135,                 2.3621,                 2.9611,                  1.564,             0.00060797,             0.00060797,             0.00060797
                      6,                 2.3529,                 2.5541,                  1.572,                0.10598,                0.13724,                0.09152,                0.04064,                 2.3374,                  2.782,                 1.5726,             0.00057263,             0.00057263,             0.00057263
                      7,                 2.3206,                 2.5464,                 1.5464,                0.22588,                0.16783,                0.09598,                0.03533,                 2.2622,                 2.9907,                 1.5437,             0.00053728,             0.00053728,             0.00053728
                      8,                 2.2822,                 2.4594,                 1.5267,                0.17332,                0.13006,                0.10016,                0.04256,                 2.2529,                  2.948,                 1.5125,             0.00050194,             0.00050194,             0.00050194
                      9,                  2.249,                 2.4294,                 1.5015,                0.19897,                0.14342,                 0.1221,                0.05317,                  2.258,                 2.5639,                 1.5241,              0.0004666,              0.0004666,              0.0004666
                     10,                 2.2177,                 2.3158,                 1.4928,                0.17617,                0.11269,                0.09451,                0.03776,                  2.227,                 2.6694,                 1.4854,             0.00043126,             0.00043126,             0.00043126
                     11,                 2.2069,                 2.3913,                 1.4977,                0.15573,                0.13372,                 0.1086,                0.04703,                 2.3135,                  2.507,                 1.5295,             0.00039591,             0.00039591,             0.00039591
                     12,                 2.1811,                 2.3852,                 1.4875,                0.20385,                0.13567,                0.11821,                0.04919,                 2.1928,                 2.6023,                 1.4646,             0.00036057,             0.00036057,             0.00036057
                     13,                 2.1694,                 2.3759,                 1.4823,                0.20683,                 0.1363,                0.11725,                 0.0536,                 2.2227,                 2.4888,                 1.5376,             0.00032523,             0.00032523,             0.00032523
                     14,                  2.151,                   2.32,                 1.4741,                0.23539,                0.15742,                 0.1263,                0.05383,                 2.1655,                 2.3993,                 1.4501,             0.00028988,             0.00028988,             0.00028988
                     15,                 2.1265,                 2.2881,                 1.4641,                0.22588,                0.14167,                0.13267,                0.06109,                 2.1736,                 2.3588,                 1.4774,             0.00025454,             0.00025454,             0.00025454
                     16,                 2.0794,                 2.2128,                 1.4539,                0.18515,                0.16156,                0.12845,                0.06035,                 2.1582,                 2.3199,                 1.4605,              0.0002192,              0.0002192,              0.0002192
                     17,                 2.0766,                 2.1735,                 1.4371,                0.24606,                0.16927,                 0.1335,                0.05927,                 2.1022,                  2.411,                 1.4251,             0.00018385,             0.00018385,             0.00018385
                     18,                 2.0417,                 2.1571,                 1.4119,                0.20496,                0.18963,                0.14994,                0.06823,                 2.1192,                  2.345,                 1.4358,             0.00014851,             0.00014851,             0.00014851
                     19,                 2.0371,                 2.0989,                 1.4113,                0.22953,                0.15471,                0.14931,                0.07141,                 2.0797,                 2.2822,                 1.4394,             0.00011317,             0.00011317,             0.00011317
                     20,                 1.9924,                 2.0528,                 1.4011,                0.24102,                0.20746,                0.15401,                0.07029,                 2.1069,                  2.238,                 1.4251,             7.7826e-05,             7.7826e-05,             7.7826e-05
